Month,January,February,March,April,May,June,July,August,September,October,November,December
2008,106229,102602,104323,79001,89368,87285,99395,100253,80089,77324,79892,86146
2009,97673,93220,97513,78316,71649,60053,97439,103545,91874,78192,81798,93219
2010,102949,106022,109156,80521,88246,85563,110658,119932,106472,88505,94206,95501
2011,109022,110656,105238,68666,69759,75650,99482,120456,100396,87979,99294,103603
2012,116136,112115,125318,87470,82230,94920,111890,131952,108728,102330,108900,116652
2013,116094,121824,135999,89408,86095,99113,111231,134256,108585,100649,107431,118076
2014,116909,116166,131071,96650,90410,102578,109599,133184,109234,100912,105757,118251
2016,118272,125780,131770,95784,94193,100382,114508,135139,120340,110968,121474,131787
